id,nombre,descripcion,unidad_medida,precio_por_unidad
167,Chickpea Snack Mix,"Crunchy, seasoned chickpeas for a wholesome snack.",cm,3.49
168,Pressure Cooker,Instant pressure cooker with multiple cooking settings.,pulgadas,89
169,Wine Glasses,Set of elegant wine glasses for special occasions.,km,29.99
170,Portable Camping Stove,Compact camp stove for outdoor cooking.,pulgadas,49.99
171,Portable Charger with Solar Panel,Eco-friendly charger with a built-in solar panel for outdoor use.,pulgadas,45.99
172,Tomato Basil Pasta Sauce,Rich and flavorful pasta sauce made with ripe tomatoes and basil.,litros,3.99
173,Comfortable Jogger Pants,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",m2,29.99
174,Savory Rice Cakes,"Lightly salted rice cakes, perfect for a healthy snack.",pulgadas,2.5
175,Tuscan Bean Soup,A hearty mix of beans in a flavorful tomato broth.,cm,2.49
176,Fitness Resistance Bands Set,Variety of bands suitable for all fitness levels.,m2,34.99
177,Organic Quinoa,Nutritious organic quinoa for salads or sides,km,4.29
178,Asian Stir-Fry Vegetables,Frozen mix of colorful stir-fry veggies.,m2,2.99
179,Insulated Wine Tote,Stylish tote to keep wine bottles chilled while traveling.,litro,24.99
180,Portable Bluetooth Keyboard,Compact keyboard for tablets and smartphones.,cm3,39.99
181,Dark Chocolate Covered Raisins,Satisfy your sweet tooth with these dark chocolate-covered raisins.,m2,3.99
182,Essential White Button-Up,A classic white button-up shirt for a polished appearance.,pulgadas,44.99
183,Garden Tool Belt,Handy belt for carrying garden tools while working.,cm,22.99
184,Bamboo Bathtub Caddy,"Expandable caddy for holding books, phones, and snacks while in the bath.",m2,34.99
185,High-Quality Yoga Mat,Non-slip mat designed for yoga and fitness exercises.,litro,34.99
186,Reusable Silicone Food Storage Bags,Eco-friendly bags for storing food without plastic waste.,litro,19.99
187,Pumpkin Pie Spice,A blend of spices that brings the taste of fall to your baked goods.,litros,2.99
188,Digital Kitchen Timer,Easy-to-read digital kitchen timer with alarms.,pulgadas,14.99
189,Organic Whole Grain Oats,Whole grain oats that are perfect for breakfast or baking.,cm3,2.49
190,Strawberry Fruit Spread,Natural fruit spread bursting with real strawberry flavor.,m2,3.59
191,Handmade Leather Journal,Beautiful leather-bound journal for writing and sketching.,litros,39.99
192,Wall-Mounted Wine Rack,Stylish and modern holder for storing wine bottles on walls.,m2,39.99
193,Asian Noodle Salad Kit,A pre-packaged salad kit with noodles and Asian-style dressing.,pulgadas,4.99
194,Ginger Turmeric Latte Mix,A warming blend of ginger and turmeric for lattes.,m2,5.29
195,Running Shorts,Lightweight and breathable running shorts for your workouts.,m2,34.99
196,Smart Air Purifier,Filters allergens and pollutants from the air for a healthier home.,m2,199.99
197,Hot Salsa,Spicy salsa made with fresh ingredients.,cm,2.29
198,Desk Organizer Set,Stylish desk set to keep your workspace tidy and organized.,cm3,29.99
199,Green Smoothie Mix,A convenient powder mix combining greens and fruits for smoothies.,m2,5.99
200,Spicy Salsa Verde,"Green salsa with a spicy kick, great for dipping.",litro,3.49
201,Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,cm3,19.99
202,Cranberry Juice,Refreshing cranberry juice with no added sugar.,km,3.69
203,Carrot and Celery Sticks,Fresh pre-cut carrot and celery sticks for easy snacking.,pulgadas,2.99
204,Electric Heat Pad,Microwaveable heat pad for soothing muscle aches.,pulgadas,24.99
205,Foam Building Blocks for Kids,Soft foam blocks perfect for building and imaginative play.,pulgadas,22.99
206,Pressure Cooker,Instant pressure cooker with multiple cooking settings.,km,89
207,Homestyle Beef Stew,"Hearty beef stew with vegetables, ready to heat and serve.",litro,7.99
208,Brazil Nuts,"Rich in selenium, perfect for snacking or baking.",litros,10.99
209,Vanilla Bean Greek Yogurt,Smooth Greek yogurt infused with vanilla bean flavor.,litro,1.99
210,Insulated Lunch Box,Durable lunch box designed to keep food fresh and cool.,km,24.99
211,Portable Camping Shower,Convenient shower system for camping and outdoor activities.,litros,39.99
212,Rice Pudding,Creamy dessert made with rice and cinnamon.,cm,2.29
213,High-Speed HDMI Cable,Durable cable for connecting devices with high-definition video.,pulgadas,12.99
214,Luxury Memory Foam Mattress Topper,Adds extra comfort to your mattress for a better night's sleep.,km,129.99
215,Frozen Berry Medley,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",km,5.49
216,Pumpkin Spice Latte Mix,Instant mix for delicious pumpkin spice lattes at home.,km,3.29
217,Pet Food Storage Container,Airtight container to keep pet food fresh.,m2,24.99
218,Colorful Post-It Notes Set,Variety pack of sticky notes in different colors and sizes.,litro,9.99
219,Whole Wheat Bread,"Freshly baked whole wheat bread, rich in fiber.",km,2.49
220,Apple Cinnamon Oatmeal,Warm oatmeal flavored with apple and cinnamon.,km,2.89
221,Smart Water Bottle,Water bottle that tracks your hydration levels.,pulgadas,39.99
222,Miso Dressing,Flavorful dressing made with miso paste,km,3.49
223,Honey,"Pure and natural honey, great for sweetening.",cm3,5.49
224,Drone,Beginner-friendly drone with HD camera.,litro,249.99
225,Pumpkin Ice Cream,"Seasonal pumpkin ice cream, perfect for fall.",km,4.99
226,Pumpkin Spice Pancake Mix,Pancake mix infused with seasonal pumpkin spice flavor.,m2,3.49
227,Maple Almond Granola,Crunchy granola with maple flavor and almond pieces for breakfast.,pulgadas,5.49
228,Asian Stir-Fry Vegetables,Frozen mix of colorful stir-fry veggies.,km,2.99
229,Portable Charcoal Grill,Compact charcoal grill perfect for tailgating.,cm,89.99
230,Red Lentils,Nutritious and quick-cooking red lentils.,litro,1.99
231,Ramen Noodles,Quick-cooking ramen for instant meals.,pulgadas,0.99
232,Insulated Coffee Mug,Double-walled mug to keep your drink hot for longer.,pulgadas,24.99
233,Garden Hose,Durable 50-foot garden hose with nozzle.,litro,32.99
234,Insulated Lunch Bag,Stylish insulated lunch bag for on-the-go meals.,cm3,24.99
235,Peach Yogurt,Creamy peach-flavored yogurt with real fruit.,litros,1.29
236,Leather Biker Jacket,Stylish black leather jacket featuring a zip-up front and multiple pockets.,litros,129.99
237,Car Trash Can,Compact trash can for keeping your car clean.,m2,12.99
238,Pet Safety Harness,Comfortable harness designed to keep pets safe in the car.,litro,24.99
239,Corn Tortillas,"Soft and warm corn tortillas, perfect for tacos and burritos.",m2,2.49
240,Essential Oils Diffuser Necklace,Wearable diffuser for scenting your space and body.,km,19.99
241,Shatterproof Wine Glasses,"Durable, unbreakable wine glasses for outdoor use.",cm,24.99
242,Insulated Lunch Bag,Stylish insulated lunch bag for on-the-go meals.,cm,24.99
243,Athletic Jogging Jacket,Designed for comfort and performance during workouts.,cm3,49.99
244,Vegan Chickpea Salad,"Healthy salad made with chickpeas, vegetables, and a lemon dressing.",cm,3.99
245,Silicone Baking Mat,Non-stick baking mat for easy cooking and cleanup.,litro,15.99
246,Handheld Shower Head,Adjustable shower head for a luxurious shower experience.,km,34.99
247,Sun Protection Clothing,UV-blocking clothing for outdoor activities.,pulgadas,44.99
248,Brussels Sprouts,"Fresh Brussels sprouts, great for roasting or steaming.",litros,3.49
249,Smart Thermostat with Wi-Fi,Wi-Fi enabled thermostat that learns your habits.,litros,169.99
250,Ultraviolet Phone Sanitizer,UV sanitizer that kills germs on your smartphone.,pulgadas,39.99
251,Pest Control Traps,Non-toxic traps for catching household pests safely.,litro,22.99
252,Ginger Turmeric Shots,Ready-to-drink shots made with fresh ginger and turmeric.,pulgadas,3.99
253,Smartphone Tripod with Remote,Adjustable tripod with remote shutter for smartphones.,litro,29.99
254,Chocolate Protein Powder,Rich chocolate protein powder for smoothies and baking.,m2,24.99
255,Motorcycle Phone Mount,Universal mount for smartphones on motorcycles.,litro,14.99
256,Flavored Rice Cakes,Light and crunchy rice cakes with a variety of flavors.,litros,2.49
257,Electric Skillet,Versatile electric skillet for stir-frying and searing.,cm3,49.99
258,Personal Safety Alarm,Compact alarm for personal safety and security.,m2,12.99
259,Pineapple Coconut Rice Mix,A flavorful blend of rice with tropical pineapple and coconut flavors.,cm,3.99
260,Classic Minestrone Soup,Hearty minestrone soup loaded with vegetables and pasta.,m2,2.99
261,Plaid Flannel Shirt,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",cm,29.99
262,Fashionable Belt Bag,Trendy belt bag for hands-free carrying.,cm3,34.99
263,Over-the-Door Shoe Organizer,Space-saving solution to store shoes and keep them organized.,cm3,22.99
264,Adjustable Dog Harness,Comfortable and adjustable harness for dogs.,cm3,24.99
265,Coconut Cashew Yogurt,"Creamy yogurt made with coconut and cashews, dairy-free.",m2,1.99
266,Miso Dressing,Flavorful dressing made with miso paste,m2,3.49
267,Kale Caesar Salad Kit,Fresh kale with Caesar dressing and croutons.,m2,5.99
268,Customizable Wall Calendar,Personalize your calendar with photos and special dates.,litros,24.99
269,Peach Preserves,"Sweet and fruity peach preserves, perfect for spreading on toast.",cm,3.79
270,Sporty Cap,Stylish cap to complete your athletic look.,litros,15.99
271,Coffee Maker,Single-serve coffee maker with a built-in grinder.,litro,89.99
272,Teriyaki Chicken Stir-Fry,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",m2,6.99
273,Fitness Jump Rope with LCD Counter,Weighted jump rope that counts jumps and calories burned.,litros,15.99
274,Wireless Security System,Comprehensive camera and alert system for home security.,cm,299.99
275,Gluten-Free Pancake Mix,"Fluffy and delicious pancake mix, perfect for a gluten-free breakfast.",litros,5.99
276,Electric Knife,Cordless electric knife for effortless slicing.,litros,39.99
277,Mini Fondue Set,Complete fondue set for chocolate and cheese parties.,m2,34.99
278,Garlic & Herb Goat Cheese,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",m2,5.49
279,Smart Scale,Wi-Fi smart scale for tracking weight and BMI.,pulgadas,59.99
280,Wireless HDMI Receiver,Stream HD video wirelessly from devices to TV.,cm3,49.99
281,Hummus,"Creamy chickpea dip, perfect for veggies or pita.",m2,4.29
282,Garlic and Herb Rub,A seasoning blend of garlic and herbs to enhance any dish.,litro,2.29
283,Honey Roasted Chickpeas,Crispy chickpeas roasted with honey for a sweet and satisfying snack.,km,3.29
284,Decorative Wall Tapestry,Colorful tapestry to add charm to any room.,m2,34.99
285,Frozen Vegetarian Pizza,A delicious pizza loaded with vegetables,litros,6.49
286,Sour Cream,"Tangy sour cream, perfect for dips and toppings.",pulgadas,3.49
287,Cheesy Cauliflower Bake,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",cm3,5.49
288,Sweet BBQ Dipping Sauce,Perfectly balanced sweet and tangy BBQ sauce for dipping or grilling.,litro,3.49
289,Smartphone Photography Tripod,Lightweight tripod designed for smartphone photography.,litro,29.99
290,Yoga Wheel,Supportive yoga wheel for deep stretching and balance.,pulgadas,34.99
291,Adjustable Skipping Rope,Durable skipping rope with adjustable length for workouts.,litros,12.99
292,Workstation Laptop Stand,Adjustable stand to improve ergonomics while working on a laptop.,litros,49.99
293,Spiralizer,Vegetable spiralizer for healthy meals.,m2,22.99
294,Honeycrisp Apples,"Crisp and sweet Honeycrisp apples, freshly picked.",cm3,1.89
295,Picnic Blanket,Waterproof picnic blanket for outdoor fun.,cm,29.99
296,Baking Powder,Essential ingredient for baking fluffy cakes and pastries.,cm,1.79
297,High-Top Leather Boots,Durable high-top leather boots for the stylish adventurer.,m2,99.99
298,Set of Silicone Baking Molds,Flexible molds perfect for baking cakes and pastries.,cm,15.99
299,Ice Cream Maker,Homemade ice cream maker for delicious desserts.,cm,79.99
300,Crafting Kit,Complete crafting kit for kids and adults.,km,29.99
301,Pet Bed,Comfortable pet bed for small to medium-sized dogs.,m2,39.99
302,Banana Peanut Butter Smoothie,Frozen smoothie mix with bananas and peanut butter for a quick drink.,litros,5.49
303,Running Shorts,Lightweight and breathable running shorts for your workouts.,litro,34.99
304,Ice Cream,"Rich and creamy ice cream, available in various flavors.",cm3,5.99
305,Coconut Cream,"Rich cream extracted from coconut milk, ideal for desserts.",km,2.99
306,Herb Garlic Butter,"A flavorful garlic butter blend, perfect for cooking or baking.",m2,3.99
307,Miso Dressing,Flavorful dressing made with miso paste,litros,3.49
308,Tuna Fish (canned),"Wild-caught tuna in olive oil, perfect for salads.",cm,2.29
309,Emergency Preparedness Kit,Complete kit for emergency situations including food and water.,pulgadas,99.99
310,Electric Griddle,Large electric griddle for family meals.,litro,54.99
311,LED Desk Lamp,Dimmable LED desk lamp with USB charging port.,litro,35
312,Portable Water Filter,Lightweight water filter for outdoor adventures.,litros,29.99
313,Wireless Car Charger,Convenient charging pad for wireless charging in vehicles.,cm3,24.99
314,Almond Butter Cookies,Soft cookies made with almond butter,km,4.49
315,Cinnamon Roll Kit,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,cm,6.89
316,Silicone Baking Molds,Set of flexible molds for baking cakes and pastries.,km,15.99
317,Stainless Steel BBQ Grill Set,Essential tools for outdoor barbecues including tongs and spatula.,km,49.99
318,Whole Wheat Pita Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",pulgadas,2.79
319,Cream Cheese,"Smooth and creamy, ideal for spreads or baking.",litro,2.69
320,Portable Pet Stroller,Convenient stroller for pets to enjoy outdoor walks.,m2,89.99
321,Sweet Potato Mash,"Creamy mashed sweet potatoes, ready to heat and serve.",cm,3.99
322,Collapsible Storage Crates,Space-saving crates for easy organization at home or while traveling.,km,18.99
323,Vegetarian Stuffed Peppers,"Bell peppers stuffed with rice, beans, and spices, ready to bake.",litro,4.99
324,Chocolate Syrup,Rich chocolate syrup for ice cream or beverages.,litro,2.99
325,Tropical Fruit Bowl,A mix of tropical fruits for a refreshing snack or dessert.,km,4.99
326,Peach Slices in Syrup,"Sweet and tender peach slices preserved in syrup, great for desserts.",m2,2.59
327,Garden Hose,Durable 50-foot garden hose with nozzle.,cm3,32.99
